id,nome,sobrenome,amigos
1,Benoit,Aireton,"[{""sexo"":""M"",""nome"":""Derwin Rogge""},{""sexo"":""M"",""nome"":""Elmo Adacot""}]"
2,Quintin,Twatt,"[{""sexo"":""F"",""nome"":""Max Betz""},{""sexo"":""F"",""nome"":""Emmi Everingham""},{""sexo"":""F"",""nome"":""Annadiane Fearby""}]"
3,Andros,Pervew,"[{""sexo"":""M"",""nome"":""Ker Scimonelli""},{""sexo"":""F"",""nome"":""Carlita Meads""},{""sexo"":""M"",""nome"":""Carson Peto""}]"
4,Catrina,Ridgeway,"[{""sexo"":""M"",""nome"":""Shellysheldon Mugridge""}]"
5,Tyler,Clayson,"[{""sexo"":""F"",""nome"":""Francesca Wattins""}]"
6,Winfield,Allnatt,"[{""sexo"":""F"",""nome"":""Selie Wrotham""}]"
7,Cyndia,Mallon,"[{""sexo"":""F"",""nome"":""Jessie Stiger""},{""sexo"":""M"",""nome"":""Tomlin Hutcheson""},{""sexo"":""F"",""nome"":""Tatiana Pankettman""}]"
8,Norry,Culley,"[{""sexo"":""F"",""nome"":""Sybille Pinor""},{""sexo"":""F"",""nome"":""Fanechka Klimashevich""}]"
9,Erv,Fere,"[{""sexo"":""F"",""nome"":""Elicia Maberley""},{""sexo"":""F"",""nome"":""Jamima Matusevich""}]"
10,Myrilla,Winkless,"[{""sexo"":""F"",""nome"":""Daphene Gippes""}]"
11,Taddeo,Pellamont,"[{""sexo"":""M"",""nome"":""Bradney Maillard""},{""sexo"":""F"",""nome"":""Annalee Stonhewer""},{""sexo"":""M"",""nome"":""Anson Longmaid""}]"
12,Dewain,Smithies,"[{""sexo"":""F"",""nome"":""Merilee Storcke""}]"
13,Giana,Kasper,"[{""sexo"":""M"",""nome"":""Massimiliano Veldman""},{""sexo"":""F"",""nome"":""Jo Winsper""}]"
14,Shirline,Bernardinelli,"[{""sexo"":""F"",""nome"":""Philippe Sheron""}]"
15,Cacilia,Walas,"[{""sexo"":""F"",""nome"":""Marnie Putterill""}]"
16,Faydra,Pietrzyk,"[{""sexo"":""M"",""nome"":""Ferdie Zellick""}]"
17,Morgan,Thompsett,"[{""sexo"":""F"",""nome"":""Marillin Peniman""},{""sexo"":""F"",""nome"":""Jerrilee Lerego""}]"
18,Ray,Minci,"[{""sexo"":""M"",""nome"":""Shermy Dryden""},{""sexo"":""M"",""nome"":""Adolf Gingold""},{""sexo"":""F"",""nome"":""Colette Leyfield""}]"
19,Susette,Ebbins,"[{""sexo"":""F"",""nome"":""Indira Egre""}]"
20,Rickie,Andrault,"[{""sexo"":""M"",""nome"":""Fax MacHostie""}]"
21,Willi,Purselow,"[{""sexo"":""F"",""nome"":""Luz Snailham""}]"
22,Raphaela,Jermey,"[{""sexo"":""M"",""nome"":""Ingamar Tiltman""},{""sexo"":""F"",""nome"":""Bamby McQuillen""}]"
23,Aguste,Huzzay,"[{""sexo"":""F"",""nome"":""Becki McIlheran""}]"
24,Tabby,Wesley,"[{""sexo"":""F"",""nome"":""Hana Pideon""},{""sexo"":""M"",""nome"":""Robby Pesak""},{""sexo"":""F"",""nome"":""Melissa Chester""}]"
25,Vaclav,Arling,"[{""sexo"":""F"",""nome"":""Carmon Sagg""}]"
26,Ferd,Duhig,"[{""sexo"":""M"",""nome"":""Branden Edwicke""},{""sexo"":""M"",""nome"":""Somerset Barritt""},{""sexo"":""M"",""nome"":""Dru Harteley""}]"
27,Magdaia,Yerson,"[{""sexo"":""M"",""nome"":""Alfie Prettyjohns""},{""sexo"":""M"",""nome"":""Markus Yesenev""},{""sexo"":""F"",""nome"":""Lark Sowte""}]"
