id,funcionario.nome,funcionario.sobrenome,amigos
1,Lorry,Addionizio,"[{""sexo"":""F"",""nome"":""Dalila Abate""}]"
2,Ezmeralda,Derington,"[{""sexo"":""F"",""nome"":""Marj Tiron""},{""sexo"":""M"",""nome"":""Isidore Bramo""}]"
3,Liv,Antoniak,"[{""sexo"":""M"",""nome"":""Shelley Ellerker""},{""sexo"":""M"",""nome"":""Patrizio Bronger""},{""sexo"":""M"",""nome"":""Eb Beevors""}]"
4,Rick,Busek,"[{""sexo"":""M"",""nome"":""Norrie McFaul""}]"
5,Hewett,Allot,"[{""sexo"":""M"",""nome"":""Cchaddie Goley""}]"
6,Harli,Portingale,"[{""sexo"":""F"",""nome"":""Belva Simonian""},{""sexo"":""M"",""nome"":""Jarrod Chevis""},{""sexo"":""F"",""nome"":""Ninon Strick""}]"
7,Sarge,Rembrandt,"[{""sexo"":""M"",""nome"":""Ab Shillaber""},{""sexo"":""F"",""nome"":""Jayme Lidgey""}]"
8,Webb,Stivers,"[{""sexo"":""F"",""nome"":""Carly Soonhouse""}]"
9,Felizio,Allbut,"[{""sexo"":""F"",""nome"":""Tracee Grundey""},{""sexo"":""F"",""nome"":""Ashlee Matevushev""},{""sexo"":""F"",""nome"":""Annadiane Medforth""}]"
10,Lionel,Dallaway,"[{""sexo"":""F"",""nome"":""Corabella Klagge""},{""sexo"":""F"",""nome"":""Pooh Haskett""}]"
11,Joyann,Revans,"[{""sexo"":""M"",""nome"":""Urban Carden""},{""sexo"":""F"",""nome"":""Brigid Lelievre""}]"
12,Lavinia,Muslim,"[{""sexo"":""F"",""nome"":""Jade Volks""},{""sexo"":""M"",""nome"":""Arvin Redparth""},{""sexo"":""M"",""nome"":""Octavius Phillipp""}]"
13,Adrian,Toun,"[{""sexo"":""M"",""nome"":""Gunar Lyddyard""},{""sexo"":""M"",""nome"":""Humfried Eastmond""}]"
14,Lil,Feldon,"[{""sexo"":""M"",""nome"":""Nikolos Oakshott""},{""sexo"":""F"",""nome"":""Loni Rosettini""},{""sexo"":""M"",""nome"":""Hew Tallow""}]"
15,Dasya,Sherrock,"[{""sexo"":""M"",""nome"":""Valdemar Hambelton""}]"
16,Halette,Slavin,"[{""sexo"":""F"",""nome"":""Gennifer Asch""},{""sexo"":""F"",""nome"":""Bliss Boldry""}]"
17,Augusta,Allender,"[{""sexo"":""M"",""nome"":""Laurence Follitt""},{""sexo"":""F"",""nome"":""Lianne Handforth""}]"
18,Kingston,Ravenhills,"[{""sexo"":""M"",""nome"":""Zacherie Denholm""},{""sexo"":""M"",""nome"":""Lew Goodere""},{""sexo"":""F"",""nome"":""Vida Stelfox""}]"
19,Corbin,Shorthill,"[{""sexo"":""F"",""nome"":""Meridith Gaskoin""},{""sexo"":""F"",""nome"":""Marquita Osbidston""},{""sexo"":""M"",""nome"":""Ford Southerden""}]"
20,Domenico,Santon,"[{""sexo"":""F"",""nome"":""Joete Darby""},{""sexo"":""F"",""nome"":""Genevieve Tregunna""},{""sexo"":""F"",""nome"":""Shae Alway""}]"
21,Pren,Darte,"[{""sexo"":""M"",""nome"":""Emelen Fehners""}]"
22,Johnna,Wildish,"[{""sexo"":""M"",""nome"":""Lemuel Ogdahl""}]"
23,Gladys,Coulter,"[{""sexo"":""F"",""nome"":""Colleen Booij""},{""sexo"":""F"",""nome"":""Ginevra Megroff""},{""sexo"":""M"",""nome"":""Kev Jaquest""}]"
24,Natty,Leverich,"[{""sexo"":""F"",""nome"":""Caron Lukacs""},{""sexo"":""M"",""nome"":""Boris Hounsome""}]"
25,Denys,Pennuzzi,"[{""sexo"":""F"",""nome"":""Alexia Abel""},{""sexo"":""M"",""nome"":""Saw Stammers""}]"
26,Bobette,Shortell,"[{""sexo"":""M"",""nome"":""Mohammed Yurevich""}]"
